file_name, maze_dim, upper_benchmark, lower_benchmark, score
./generated_mazes/18/maze_00_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 11.667
./generated_mazes/18/maze_01_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 19.733
./generated_mazes/18/maze_02_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 22.400
./generated_mazes/18/maze_03_ub-38.6_lb-27.8.txt, 18, 38.6, 27.8, 24.600
./generated_mazes/18/maze_04_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 26.967
./generated_mazes/18/maze_05_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 7.833
./generated_mazes/18/maze_06_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 23.433
./generated_mazes/18/maze_07_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 23.133
./generated_mazes/18/maze_08_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 27.300
./generated_mazes/18/maze_09_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 14.267
./generated_mazes/18/maze_10_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 13.667
./generated_mazes/18/maze_11_ub-38.6_lb-27.8.txt, 18, 38.6, 27.8, 23.833
./generated_mazes/18/maze_12_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 18.633
./generated_mazes/18/maze_13_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 18.733
./generated_mazes/18/maze_14_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 23.233
./generated_mazes/18/maze_15_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 22.733
./generated_mazes/18/maze_16_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 14.400
./generated_mazes/18/maze_17_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 10.333
./generated_mazes/18/maze_18_ub-37.6_lb-26.8.txt, 18, 37.6, 26.8, 26.200
./generated_mazes/18/maze_19_ub-36.6_lb-25.8.txt, 18, 36.6, 25.8, 24.833
./generated_mazes/18/maze_20_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 10.700
./generated_mazes/18/maze_21_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 15.133
./generated_mazes/18/maze_22_ub-30.6_lb-19.8.txt, 18, 30.6, 19.8, 18.600
./generated_mazes/18/maze_23_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 20.933
./generated_mazes/18/maze_24_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 10.867
./generated_mazes/18/maze_25_ub-28.6_lb-17.8.txt, 18, 28.6, 17.8, 8.167
./generated_mazes/18/maze_26_ub-41.6_lb-30.8.txt, 18, 41.6, 30.8, 29.700
./generated_mazes/18/maze_27_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 20.500
./generated_mazes/18/maze_28_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 16.600
./generated_mazes/18/maze_29_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 19.133
./generated_mazes/18/maze_30_ub-31.6_lb-20.8.txt, 18, 31.6, 20.8, 15.933
./generated_mazes/18/maze_31_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 17.633
./generated_mazes/18/maze_32_ub-32.6_lb-21.8.txt, 18, 32.6, 21.8, 21.667
./generated_mazes/18/maze_33_ub-27.6_lb-16.8.txt, 18, 27.6, 16.8, 6.933
./generated_mazes/18/maze_34_ub-35.6_lb-24.8.txt, 18, 35.6, 24.8, 22.667
./generated_mazes/18/maze_35_ub-33.6_lb-22.8.txt, 18, 33.6, 22.8, 1033.33333333
./generated_mazes/18/maze_36_ub-34.6_lb-23.8.txt, 18, 34.6, 23.8, 21.433
